0001	Fry's Electronics
1A81	Holtek Semiconductor, Inc.
1A86	QinHeng Electronics
1A89	Dynalith Systems Co., Ltd.
1A8B	SGS Taiwan Ltd.
1A8D	BandRich, Inc.
1A98	Leica Camera AG
1AA4	Data Drive Thru, Inc.
1AA5	UBeacon Technologies, Inc.
1AA6	eFortune Technology Corp.
1AAB	Silvercreations Software AG
1AAD	KeeTouch
1AB1	Rigol Technologies
1AB2	Allied Vision
1ACB	Salcomp Plc
1ACC	Midiplus Co, Ltd.
1AD1	Desay Wire Co., Ltd.
1AD4	APS
1ADB	Schweitzer Engineering Laboratories, Inc
1AE4	ic-design Reinhard Gottinger GmbH
1AE7	X-TENSIONS
1AED	High Top Precision Electronic Co., Ltd.
1AEF	Conntech Electronic (Suzhou) Corporation
1AF1	Connect One Ltd.
1AF3	Kingsis Technology Corporation
1AFE	A. Eberle GmbH & Co. KG
1B04	Meilhaus Electronic GmbH
1B0E	BLUTRONICS S.r.l.
1B12	Eventide
1B1C	Corsair
1B1E	General Imaging / General Electric
1B1F	eQ-3 Entwicklung GmbH
1B20	MStar Semiconductor, Inc.
1B22	WiLinx Corp.
1B24	Telegent Systems, Inc.
1B26	Cellex Power Products, Inc.
1B27	Current Electronics Inc.
1B28	NAVIsis Inc.
1B32	Ugobe Life Forms, Inc.
1B36	ViXS Systems, Inc.
1B3B	iPassion Technology Inc.
1B3F	Generalplus Technology Inc.
1B47	Energizer Holdings, Inc.
1B48	Plastron Precision Co., Ltd.
1B52	ARH Inc.
1B59	K.S. Terminals Inc.
1B5A	Chao Zhou Kai Yuan Electric Co., Ltd.
1B65	The Hong Kong Standards and Testing Centre Ltd.
1B71	Fushicai
1B72	ATERGI TECHNOLOGY CO., LTD.
1B73	Fresco Logic
1B75	Ovislink Corp.
1B76	Legend Silicon Corp.
1B80	Afatech
1B86	Dongguan Guanshang Electronics Co., Ltd.
1B88	ShenMing Electron (Dong Guan) Co., Ltd.
1B8C	Altium Limited
1B8D	e-MOVE Technology Co., Ltd.
1B8E	Amlogic, Inc.
1B8F	MA LABS, Inc.
1B96	N-Trig
1B98	YMax Communications Corp.
1B99	Shenzhen Yuanchuan Electronic
1BA1	JINQ CHERN ENTERPRISE CO., LTD.
1BA2	Lite Metals & Plastic (Shenzhen) Co., Ltd.
1BA4	Ember Corporation
1BA6	Abilis Systems
1BA8	China Telecommunication Technology Labs
1BAD	Harmonix Music
1BAE	Vuzix Corporation
1BBB	T & A Mobile Phones
1BBD	Videology Imaging Solutions, Inc.
1BC0	Beijing Senseshield Technology Co.,Ltd.
1BC4	Ford Motor Co.
1BC5	AVIXE Technology (China) Ltd.
1BC7	Telit Wireless Solutions
1BCE	Contac Cable Industrial Limited
1BCF	Sunplus Innovation Technology Inc.
1BD0	Hangzhou Riyue Electronic Co., Ltd.
1BD5	BG Systems, Inc.
1BDA	University Of Southampton
1BDE	P-TWO INDUSTRIES, INC.
1BEF	Shenzhen Tongyuan Network-Communication Cables Co., Ltd
1BF0	RealVision Inc.
1BF5	Extranet Systems Inc.
1BF6	Orient Semiconductor Electronics, Ltd.
1BFD	TouchPack
1C02	Kreton Corporation
1C04	QNAP System Inc.
1C05	Shenxhen Stager Electric
1C0C	Ionics EMS, Inc.
1C0D	Relm Wireless
1C10	Lanterra Industrial Co., Ltd.
1C11	Input Club Inc.
1C13	ALECTRONIC LIMITED
1C1A	Datel Electronics Ltd.
1C1B	Volkswagen of America, Inc.
1C1F	Goldvish S.A.
1C20	Fuji Electric Device Technology Co., Ltd.
1C21	ADDMM LLC
1C22	ZHONGSHAN CHIANG YU ELECTRIC CO., LTD.
1C26	Shanghai Haiying Electronics Co., Ltd.
1C27	HuiYang D & S Cable Co., Ltd.
1C28	PMD Technologies
1C29	Elster GmbH
1C31	LS Cable Ltd.
1C34	SpringCard
1C37	Authorizer Technologies, Inc.
1C3D	NONIN MEDICAL INC.
1C3E	Wep Peripherals
1C40	EZPrototypes
1C49	Cherng Weei Technology Corp.
1C4B	Geratherm Medical AG
1C4F	SiGma Micro
1C57	Zalman Tech Co., Ltd.
1C6B	Philips & Lite-ON Digital Solutions Corporation
1C6C	Skydigital Inc.
1C71	Humanware Inc
1C73	AMT
1C75	Arturia
1C77	Kaetat Industrial Co., Ltd.
1C78	Datascope Corp.
1C79	Unigen Corporation
1C7A	LighTuning Technology Inc.
1C7B	LUXSHARE PRECISION INDUSTRY (SHENZHEN) CO., LTD.
1C82	Atracsys
1C83	Schomaecker GmbH
1C87	2N TELEKOMUNIKACE a.s.
1C88	Somagic, Inc.
1C89	HONGKONG WEIDIDA ELECTRON LIMITED
1C8E	ASTRON INTERNATIONAL CORP.
1C98	ALPINE ELECTRONICS, INC.
1C9E	OMEGA TECHNOLOGY
1CA0	ACCARIO Inc.
1CA1	Symwave
1CAC	Kinstone
1CB3	Aces Electronic Co., Ltd.
1CB4	OPEX CORPORATION
1CB6	IdeaCom Technology Inc.
1CBE	Luminary Micro Inc.
1CBF	FORTAT SKYMARK INDUSTRIAL COMPANY
1CC0	PlantSense
1CCA	NextWave Broadband Inc.
1CCD	Bodatong Technology (Shenzhen) Co., Ltd.
1CD4	adp corporation
1CD5	Firecomms Ltd.
1CD6	Antonio Precise Products Manufactory Ltd.
1CDE	Telecommunications Technology Association (TTA)
1CDF	WonTen Technology Co., Ltd.
1CE0	EDIMAX TECHNOLOGY CO., LTD.
1CE1	Amphenol KAE
1CF1	Dresden Elektronik
1CFC	ANDES TECHNOLOGY CORPORATION
1CFD	Flextronics Digital Design Japan, LTD.
1D03	iCON
1D07	Solid-Motion
1D08	NINGBO HENTEK DRAGON ELECTRONICS CO., LTD.
1D09	TechFaith Wireless Technology Limited
1D0A	Johnson Controls, Inc. The Automotive Business Unit
1D0B	HAN HUA CABLE & WIRE TECHNOLOGY (J.X.) CO., LTD.
1D0D	TDKMedia
1D0F	Sonix Technology Co., Ltd.
1D14	ALPHA-SAT TECHNOLOGY LIMITED
1D17	C-Thru Music Ltd.
1D19	Dexatek Technology Ltd.
1D1F	Diostech Co., Ltd.
1D20	SAMTACK INC.
1D27	ASUS
1D34	Dream Cheeky
1D45	Touch
1D4D	PEGATRON CORPORATION
1D50	OpenMoko, Inc.
1D57	Xenta
1D5B	Smartronix, Inc.
1D5C	Fresco Logic
1D6B	Linux Foundation
1D88	Mahr GmbH
1D90	Citizen
1D9D	Sigma Sport
1DD2	Leo Bodnar Electronics Ltd
1DD3	Dajc Inc.
1DE1	Actions Microelectronics Co.
1DE6	MICRORISC s.r.o.
1DF7	SDRplay
1E0E	Qualcomm / Option
1E10	Point Grey Research, Inc.
1E17	Mirion Technologies Dosimetry Services Division
1E1D	Kanguru Solutions
1E1F	INVIA
1E29	Festo AG & Co. KG
1E2D	Gemalto M2M GmbH
1E3D	Chipsbank Microelectronics Co., Ltd
1E41	Cleverscope
1E44	SHIMANO INC.
1E4E	Cubeternet
1E54	TypeMatrix
1E68	TrekStor GmbH & Co. KG
1E71	NZXT
1E74	Coby Electronics Corporation
1E7B	Zurich Instruments
1E7D	ROCCAT
1E8E	Airbus Defence and Space
1E91	Other World Computing
1EA7	SHARKOON Technologies GmbH
1EAB	Fujian Newland Computer Co., Ltd
1EAF	Leaflabs
1EB8	Modacom Co., Ltd.
1EBB	NuCORE Technology, Inc.
1ECB	AMTelecom
1ED8	FENDER MUSICAL INSTRUMENTS CORPORATION
1EDA	AirTies Wireless Networks
1EDB	Blackmagic design
1EE8	ONDA COMMUNICATION S.p.a.
1EF6	EADS Deutschland GmbH
1F0C	CMX Systems
1F28	Cal-Comp
1F3A	Allwinner Technology
1F44	The Neat Company
1F48	H-TRONIC GmbH
1F4D	G-Tek Electronics Group
1F52	Systems & Electronic Development FZCO (SEDCO)
1F6F	Aliph
1F75	Innostor Technology Corporation
1F82	TANDBERG
1F84	Alere, Inc.
1F87	Stantum
1F9B	Ubiquiti Networks, Inc.
1FAB	Samsung Opto-Electroncs Co., Ltd.
1FAC	Franklin Wireless
1FAE	Lumidigm
1FB2	Withings
1FBA	DERMALOG Identification Systems GmbH
1FBD	Delphin Technology AG
1FC9	NXP Semiconductors
1FDE	ILX Lightwave Corporation
1FE7	Vertex Wireless Co., Ltd.
1FF7	CVT Electronics.Co.,Ltd
1FFB	Pololu Corporation
1FFF	Ideofy Inc.
2000	CMX Systems
2001	D-Link Corp.
2002	DAP Technologies
2003	detectomat
2006	LenovoMobile
2009	iStorage
200C	Reloop
2013	PCTV Systems
2018	Deutsche Telekom AG
2019	PLANEX
201E	Haier
203A	PARALLELS
203D	Encore Electronics Inc.
2040	Hauppauge
2047	Texas Instruments
2058	Nano River Technology
2077	Taicang T&W Electronics Co. Ltd
2080	Barnes & Noble
2086	SIMPASS
2087	Cando
20A0	Clay Logic
20B1	XMOS Ltd
20B3	Hanvon
20B7	Qi Hardware
20BC	ShenZhen ShanWan Technology Co., Ltd.
20CE	Minicircuits
20DF	Simtec Electronics
20F0	L3Harris Technologies
20F1	NET New Electronic Technology GmbH
20F4	TRENDnet
20F7	XIMEA
2100	RT Systems
2101	ActionStar
2104	Tobii Technology AB
2107	RDING TECH CO.,LTD
2109	VIA Labs, Inc.
2113	Softkinetic
2116	KT Tech
211F	CELOT Corporation
2123	Cheeky Dream
2125	Fiberpro Inc.
2133	signotec GmbH
2149	Advanced Silicon S.A.
214B	Huasheng Electronics
214E	Swiftpoint
2162	Broadxent (Creative Labs)
2166	JVC Kenwood
2184	GW Instek
2188	No brand
219C	Seal One AG
21A1	Emotiv Systems Pty. Ltd.
21A4	Electronic Arts Inc.
21A9	Saleae, Inc.
21AB	Planeta Informatica
21B4	AudioQuest
21D6	Agecodagis SARL
2207	Fuzhou Rockchip Electronics Company
221A	ZTEX GmbH
2222	MacAlly
2226	Copper Mountain technologies
2227	SAMWOO Enterprise
222A	ILI Technology Corp.
2230	Plugable
2232	Silicon Motion
2233	RadioShack Corporation
2237	Kobo Inc.
2245	Aspeed Technology, Inc.
224F	APDM
2256	Faderfox
225D	Morpho
226E	DISPLAX
228D	8D Technologies inc.
22A4	VERZO Technology
22A6	Pie Digital, Inc.
22A7	Fortinet Technologies
22B1	Secret Labs LLC
22B8	Motorola PCS
22B9	eTurboTouch Technology, Inc.
22BA	Technology Innovation Holdings, Ltd
22C9	StepOver GmbH
22CD	Kinova Robotics Inc.
22D4	Laview Technology
22D9	OPPO Electronics Corp.
22DB	Phase One
22DC	Mellanox Technologies
22DE	WeTelecom Incorporated
22DF	Medicom MTD, Ltd
22E0	secunet Security Networks AG
22E8	Cambridge Audio
2304	Pinnacle Systems, Inc.
2309	TimeLink Technology Co., Ltd
230D	Teracom
2314	INQ Mobile
2318	Shining Technologies, Inc. [hex]
2319	Tronsmart
232B	Pantum Ltd.
232E	EA Elektro-Automatik GmbH & Co. KG
2340	Teleepoch
2341	Arduino SA
2349	P2 Engineering Group, LLC
234B	Free Software Initiative of Japan
2357	TP-Link
2366	Bitmanufaktur GmbH
2367	Teenage Engineering
2368	Peterson Electro-Musical Products Inc.
236A	SiBEAM
2373	Pumatronix Ltda
2375	Digit@lway, Inc.
2378	OnLive
237D	Cradlepoint
2386	Raydium Corporation
238B	Hytera Communications
239A	Adafruit
23A0	BIFIT
23A6	Tronical Components GmbH
23B4	Dental Wings Inc.
23C7	Gemini
23FC	SesKion GmbH
2405	Custom Computer Services, Inc
2406	SANHO Digital Electronics Co., Ltd.
2420	IRiver
242E	Vossloh-Schwabe Deutschland GmbH
2433	ASETEK
2443	Aessent Technology Ltd
2457	Ocean Optics Inc.
2458	Bluegiga Technologies
245F	Chord Electronics Limited
2464	Nest
2466	Fractal Audio Systems
2476	YEI Technology
2478	Tripp-Lite
248A	Maxxter
249C	M2Tech s.r.l.
24A4	Primare AB
24AE	Shenzhen Rapoo Technology Co., Ltd.
24C0	Chaney Instrument
24C6	ThrustMaster, Inc.
24CF	Lytro, Inc.
24DC	Aladdin R.D.
24E0	Yoctopuce Sarl
24E1	Paratronic
24E3	K-Touch
24EA	Meva
24ED	Zen Group
24F0	Metadot
24FF	Acroname Inc.
2500	Ettus Research LLC
2516	Cooler Master Co., Ltd.
2520	ANA-U GmbH
2527	Software Bisque
2537	Norelsys
2544	Energy Micro AS
2546	Ravensburger
2548	Pulse-Eight
254E	SHF Communication Technologies AG
2554	ASSA ABLOY AB
2555	Basis Science Inc.
255E	Beijing Bonxeon Technology Co., Ltd.
2560	e-con Systems
2563	ShenZhen ShanWan Technology Co., Ltd.
256B	Perreaux Industries Ltd
256F	3Dconnexion
2573	ESI Audiotechnik GmbH
2574	AVer Information, Inc.
2575	Weida Hi-Tech Co., Ltd.
2576	AFO Co., Ltd.
2578	Pluscom
2581	Plug-up
258D	Sequans Communications
259A	TriQuint Semiconductor
25A7	Areson Technology Corp
25B5	FlatFrog
25BB	Brunner Elektronik AG
25BF	Elegant Invention
25C4	ARCAM
25C6	Vitus Audio (AVA Group A/S)
25C8	Visual Planet Ltd
25DA	Netatmo
25DD	Bit4id Srl
25E3	Lumigon
25F0	ShanWan
25FB	Pentax Ricoh Imaging Co., Ltd
2604	Tenda
2625	MilDef AB
2626	Aruba Networks
262A	SAVITECH Corp.
2632	TwinMOS
2639	Xsens
264A	Thermaltake
2650	Electronics For Imaging, Inc. [hex]
2659	Sundtek
2662	Moog Music Inc.
266E	Silicon Integrated Systems
2672	GoPro
2676	Basler AG
2685	Cardo Peripheral Systems LTD
2687	Fitbit Inc.
2689	StepOver International GmbH
268B	Dimension Engineering
26A9	Research Industrial Systems Engineering
26AA	Yaesu Musen
26B5	Electrocompaniet
26BD	Integral Memory
26E2	Ingenieurbuero Dietzsch und Thiele, PartG
26F2	Micromega
2707	Bardac Corporation
270D	Rosand Technologies
2717	Xiaomi Inc.
272A	StarLeaf Ltd.
272C	Signum Systems
2730	Citizen
2735	DigitalWay
273F	Hughski Limited
2756	Victor Hasselblad AB
2759	Philip Morris Products S.A.
2765	Firstbeat Technologies, Ltd.
2766	LifeScan
2770	NHJ, Ltd
27A8	Square, Inc.
27B8	ThingM
27BD	Codethink Ltd.
27C0	Cadwell Laboratories, Inc.
27C6	Shenzhen Goodix Technology Co.,Ltd.
27D4	Blackstar Amplification Limited
27DD	Mindeo
27F2	Softnautics LLP
2803	StarLine LLC.
2806	SIMPASS
2817	Signal Hound, Inc.
2818	Codex Digital Limited
2821	ASUSTek Computer Inc.
2822	REFLEXdigital
2833	Oculus VR, Inc.
2836	OUYA
286B	STANEO SAS
2886	Seeed Technology Co., Ltd.
2890	Teknic, Inc
2899	Toptronic Industrial Co., Ltd
289B	Dracal/Raphnet technologies
289D	Seek Thermal, Inc.
28BD	XP-Pen
28C7	Ultimaker B.V.
28D4	Devialet
28DE	Valve Software
28E0	PT. Prasimax Inovasi Teknologi
28E9	GDMicroelectronics
28F3	Clover Network, Inc.
28F9	Profitap HQ BV
290C	R. Hamilton & Co. Ltd.
2912	Audioengine
2916	Yota Devices
2931	Jolla Oy
2939	Zaber Technologies Inc.
2957	Obsidian Research Corporation
2961	Miselu
296B	Xacti Corporation
2972	FiiO Electronics Technology
298D	Next Biometrics
29BD	Silicon Works
29C1	Taztag
29C2	Lewitt GmbH
29C3	Noviga
29E2	Huatune Technology (Shanghai) Co., Ltd.
29E7	Brunel University
29E8	4Links Limited
29EA	Kinesis Corporation
29F1	Canaan Creative Co., Ltd
2A03	dog hunter AG
2A0E	Shenzhen DreamSource Technology Co., Ltd.
2A13	Grabba International
2A19	Numato Systems Pvt. Ltd
2A1D	Oxford Nanopore Technologies plc
2A37	RTD Embedded Technologies, Inc.
2A39	RME
2A3C	Trinamic Motion Control GmbH & Co KG
2A45	Meizu Corp.
2A47	Mundo Reader, S.L.
2A4B	EMULEX Corporation
2A62	Flymaster Avionics
2A6E	Bare Conductive
2A70	OnePlus Technology (Shenzhen) Co., Ltd.
2A88	DFU Technology Ltd
2A8D	Keysight Technologies, Inc.
2AB6	T+A elektroakustik GmbH & Co KG, Germany
2AC7	Ultrahaptics Ltd.
2AD1	Picotronic GmbH
2AE5	Fairphone B.V.
2AEC	Ambiq Micro, Inc.
2AF4	ROLI Ltd.
2B03	STEREOLABS
2B0E	LeEco
2B23	Red Hat, Inc.
2B24	KeepKey LLC
2B3E	NewAE Technology Inc.
2B4C	ZUK
2BC5	Orbbec 3D Technology International, Inc
2BCC	InoTec GmbH Organisationssysteme
2BD6	Coroware, Inc.
2BD8	ROPEX Industrie-Elektronik GmbH
2C02	Planex Communications
2C1A	Dolphin Peripherals
2C23	Supermicro Computer Incorporated
2C4E	Mercucys INC
2C4F	Canon Electronic Business Machines Co., Ltd.
2C55	Magic Leap, Inc.
2C7C	Quectel Wireless Solutions Co., Ltd.
2C97	Ledger
2C99	Prusa
2C9C	Vayyar Imaging Ltd.
2C9D	Nod Inc
2CA3	DJI Technology Co., Ltd.
2CB7	Fibocom
2CC0	Hangzhou Zero Zero Infinity Technology Co., Ltd.
2CC2	Lautsprecher Teufel GmbH
2CCF	Hypersecu
2CD9	Cambrionix Ltd
2CDC	Sea & Sun Technology GmbH
2CE5	InX8 Inc [AKiTiO]
2CF0	Nuand LLC
2D1F	Wacom Taiwan Information Co. Ltd.
2D25	Kronegger GmbH.
2D2D	proxmark.org
2D37	Zhuhai Poskey Technology Co.,Ltd
2D6B	NetUP Inc.
2D81	Evollve Inc.
2D84	Zhuhai Poskey Technology Co.,Ltd
2DC8	8BitDo
2DCF	Dialog Semiconductor
2DEF	Kirale Technologies
2DF2	LIPS Corporation
2E04	HMD Global
2E0E	Hatteland Display AS
2E24	Hyperkin
2E3B	uSens Inc.
2E57	MEGWARE Computer Vertrieb und Service GmbH
2E69	Swift Navigation
2E95	SCUF Gaming
2ECC	ASR Microelectronics
2F76	KeyXentic Inc.
2FAD	Definium Technologies
2FB0	Infocrypt
2FB2	Fujitsu, Ltd
2FC0	Sensidyne, LP
2FC6	Comtrue Inc.
2FE0	Xaptum, Inc.
2FE3	NordicSemiconductor
2FE7	ELGIN S.A.
2FEB	Beijing Veikk E-Commerce Co., Ltd.
2FF4	Quixant Plc
3016	Boundary Devices, LLC
3036	Control iD
3037	Beijing Chushifengmang Technology Development Co.,Ltd.
3057	Kingsis Corporation
308F	Input Club
30A4	Blues Wireless
30C2	UNPARALLEL Innovation, Lda
30C9	Luxvisions Innotech Limited
30EE	Fujitsu Connected Technologies Limited
30F2	Varex Imaging
3111	Hiperscan GmbH
3112	Meteca SA
3125	Eagletron
3136	Navini Networks
3145	SafeLogic Inc.
3147	Tanvas, Inc.
316C	SigmaSense, LLC
316D	Purism, SPC
316E	SPECINFOSYSTEMS
3171	8086 Consultancy
3176	Whanam Electronics Co., Ltd
3195	Link Instruments
3197	Katusha
31C9	BeiJing LanXum Computer Technology Co., Ltd.
3200	Alcatel-Lucent Enterprise
3219	Smak Tecnologia e Automacao LTDA
321C	Premio, Inc.
324C	CUPRIS Ltd.
326D	Agile Display Solutions Co., Ltd
3275	VidzMedia Pte Ltd
3293	Unhuman Inc.
32B3	TEXA
3310	MUDITA Sp. z o.o.
3333	InLine
3334	AEI
3340	Yakumo
3344	Leaguer Microelectronics (LME)
3384	System76
348F	ISY
3504	Micro Star
3538	Power Quotient International Co., Ltd
3579	DIVA
357D	Sharkoon
3636	InVibro
3752	Arculus Holdings, LLC
3767	Fanatec
3838	WEM
3923	National Instruments Corp.
40BB	I-O Data
4101	i-rocks
4102	iRiver, Ltd.
413C	Dell Computer Corp.
4146	USBest Technology
4168	Targus
4242	USB Design by Example
4255	GoPro
4317	Broadcom Corp.
4348	WinChipHead
4572	Shuttle, Inc.
4586	Panram
4670	EMS Production
46F4	QEMU
4752	Miditech
4757	GW Instek
4766	Aceeca
4855	Memorex
4971	SimpleTech
4D46	Musical Fidelity
5032	Grandtec
50C2	Averatec (?)
5131	MSR
5173	Sweex
5219	I-Tetra
5332	Clearly Superior Technologies, Inc.
5345	Owon
534C	SatoshiLabs
534D	MacroSilicon
5354	Meyer Instruments (MIS)
544D	Transmeta Corp.
5543	UC-Logic Technology Corp.
5555	Epiphan Systems Inc.
55AA	OnSpec Electronic, Inc.
5654	Gotview
5656	Uni-Trend Group Limited
595A	IRTOUCHSYSTEMS Co. Ltd.
5986	Bison Electronics Inc.
59E3	Nonolith Labs
5A57	Zinwell
6000	Beholder International Ltd.
601A	Ingenic Semiconductor Ltd.
6022	Xektek
6189	Sitecom
6244	LightingSoft AG
6253	TwinHan Technology Co., Ltd
636C	CoreLogic, Inc.
6472	Sony Corp.
6547	Arkmicro Technologies Inc.
6557	Emtec
6615	IRTOUCHSYSTEMS Co. Ltd.
6666	Prototype product Vendor ID
6677	WiseGroup, Ltd.
675D	Humanscale
6891	3Com
695C	Opera1
6993	Yealink Network Technology Co., Ltd.
6A75	Shanghai Jujo Electronics Co., Ltd
7104	CME (Central Music Co.)
726C	StackFoundry LLC
7302	Solinftec
734C	TBS Technologies China
7373	Beijing STONE Technology Co. Ltd.
7392	Edimax Technology Co., Ltd
73D8	Progeny Dental Equipment Specialists
7669	Venable Instruments
7825	Other World Computing
8070	ACCES I/O Products, Inc.
8086	Intel Corp.
8087	Intel Corp.
80EE	VirtualBox
8282	Keio
8301	Hapurs
8341	EGO Systems, Inc.
8564	Transcend Information, Inc.
8644	Intenso GmbG
8E06	CH Products, Inc.
8EA3	Doosl
9016	Sitecom
9022	TeVii Technology Ltd.
9148	GeoLab, Ltd
9516	Studiologic
9710	MosChip Semiconductor
9849	Bestmedia CD Recordable GmbH & Co. KG
9886	Astro Gaming
9999	Odeon
99FA	Grandtec
9AC4	J. Westhues
9E88	Marvell Semiconductor, Inc.
A014	Insignia (Best Buy)
A108	Ingenic Semiconductor Co.,Ltd
A128	AnMo Electronics Corp. / Dino-Lite (?)
A168	AnMo Electronics Corporation
A466	Haikou Xingong Electronics Co.,Ltd
A600	ASIX s.r.o.
A727	3Com
A88A	Clas Ohlsson
AAAA	MXT
AB12	aplic
ABCD	LogiLink
B58E	Blue Microphones
BA77	Clockmaker
C216	Card Device Expert Co., LTD
C251	Keil Software, Inc.
C502	AGPTek
CACE	CACE Technologies Inc.
CD12	SMART TECHNOLOGY INDUSTRIAL LTD.
D208	Ultimarc
D209	Ultimarc
D904	LogiLink
E2B7	Jie Li
E4E4	Xorcom Ltd.
EB03	MakingThings
EB1A	eMPIA Technology, Inc.
EB2A	KWorld
EF18	SMART TECHNOLOGY INDUSTRIAL LTD.
F003	Hewlett Packard
F007	Teslong
F182	Leap Motion
F3F0	CCT, Inc
F4EC	Atten Electronics / Siglent Technologies
F4ED	Shenzhen Siglent Co., Ltd.
F766	Hama
FA11	DyingLight
FC08	Conrad Electronic SE
FF00	Power Delivery
FFEE	FNK Tech
